,x_i,y_i,n = 2,delta2,n = 3,delta3,n = 4,delta4
0,0.0,,-0.0,,-0.0,,-0.0,
1,0.1111111111111111,-0.09180540505149981,-0.1027630805408585,0.010957675489358693,-0.08779149519890252,-0.004013909852597294,-0.0917442364673048,-6.116858419501214e-05
2,0.2222222222222222,-0.16670590330868507,-0.18036449147560293,0.013658588166917868,-0.1637719667757578,-0.002933936532927256,-0.16681073878627964,0.00010483547759457257
3,0.3333333333333333,-0.22514445868268673,-0.2328042328042333,0.007659774121546559,-0.22484689413823258,-0.0002975645444541486,-0.22534384728903367,0.00019938860634693967
4,0.4444444444444444,-0.2663788296781906,-0.2600823045267496,-0.006296525151441024,-0.2679217566939934,0.0015429270158027752,-0.2665324195262494,0.00015358984805879938
5,0.5555555555555556,-0.2885750538127265,-0.2621987066431518,-0.02637634716957471,-0.28990203385070684,0.0013269800379803187,-0.28860983026718257,3.4776454456042494e-05
6,0.6666666666666666,-0.2888930669158114,-0.23915343915343992,-0.04973962776237148,-0.28769320501603957,-0.0011998618997718369,-0.2888539714996622,-3.909541614921519e-05
7,0.7777777777777777,-0.26356514658712626,-0.19094650205761404,-0.07261864452951222,-0.2582007495976583,-0.0053643969894679455,-0.26358725243009057,2.2105842964303957e-05
8,0.8888888888888888,-0.20796780696086214,-0.11757789535567396,-0.09038991160518818,-0.19833014700322957,-0.009637659957632577,-0.20817659948344333,0.00020879252258118597
9,1.0,-0.1166877155084407,-0.019047619047619868,-0.09764009646082084,-0.10498687664041995,-0.011700838868020758,-0.117033456303269,0.00034574079482829756
