,x_i,y_i,n = 2,delta2,n = 3,delta3,n = 4,delta4
0,0.0,,-0.0,,-0.0,,-0.0,
1,0.1111111111111111,-0.09180540505149981,-0.11478031925803282,0.022974914206533012,-0.08696274637342585,-0.004842658678073958,-0.09167301974688626,-0.00013238530461355535
2,0.2222222222222222,-0.16670590330868507,-0.20298517611969577,0.036279272811010704,-0.16307140294060918,-0.003634500368075888,-0.16673866235843082,3.2759049745756386e-05
3,0.3333333333333333,-0.22514445868268673,-0.26461457058498883,0.039470111902302096,-0.22500196674454026,-0.00014249193814647176,-0.2252962132300656,0.0001517545473788684
4,0.4444444444444444,-0.2663788296781906,-0.29966850265391204,0.03328967297572144,-0.2694304348282094,0.003051605150018788,-0.26650267397110616,0.00012384429291556476
5,0.5555555555555556,-0.2885750538127265,-0.30814697232646543,0.019571918513738906,-0.293032804234607,0.0044577504218804576,-0.2885727624047512,-2.291407975307802e-06
6,0.6666666666666666,-0.2888930669158114,-0.29004997960264883,0.0011569126868374302,-0.2924850720067232,0.0035920050909117873,-0.2887789125680834,-0.00011415434772799049
7,0.7777777777777777,-0.26356514658712626,-0.24537752448246247,-0.018187622104663792,-0.26446323518754844,0.0008980886004221755,-0.2634512747120686,-0.0001138718750576806
8,0.8888888888888888,-0.20796780696086214,-0.17412960696590613,-0.03383819999495602,-0.20564329082007293,-0.0023245161407892123,-0.20797771530155618,9.908340694031459e-06
9,1.0,-0.1166877155084407,-0.07630622705297996,-0.040381488455460746,-0.11270123594728698,-0.003986479561153722,-0.11680381701527898,0.00011610150683827314
